,query
0,SELECT ?abstract ?label WHERE {<http://example.com/ldfs/def#Resource> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
20,SELECT ?abstract ?label WHERE {<13878924725880> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
21,SELECT ?abstract ?label WHERE {<13893603547899> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
22,SELECT ?abstract ?label WHERE {<13886704194245> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
23,SELECT ?abstract ?label WHERE {<13897220410268> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
24,SELECT ?abstract ?label WHERE {<13898739702674> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
25,SELECT ?abstract ?label WHERE {<13825414488393> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
26,SELECT ?abstract ?label WHERE {<13826121763429> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
27,SELECT ?abstract ?label WHERE {<13868446108778> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
28,SELECT ?abstract ?label WHERE {<13868451010313> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
29,SELECT ?abstract ?label WHERE {<13879110307729> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
30,SELECT ?abstract ?label WHERE {<13884055083206> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
31,SELECT ?abstract ?label WHERE {<13825398590898> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
32,SELECT ?abstract ?label WHERE {<13854601650547> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
33,SELECT ?abstract ?label WHERE {<13868448810886> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
34,SELECT ?abstract ?label WHERE {<13868445977548> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
35,SELECT ?abstract ?label WHERE {<13875505363489> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
36,SELECT ?abstract ?label WHERE {<13832296668357> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
37,SELECT ?abstract ?label WHERE {<13879064867054> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
38,SELECT ?abstract ?label WHERE {<13897120416321> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
39,SELECT ?abstract ?label WHERE {<13826122013179> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
40,SELECT ?abstract ?label WHERE {<13848656198297> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
41,SELECT ?abstract ?label WHERE {<13878851090067> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
42,SELECT ?abstract ?label WHERE {<13878969498428> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
43,SELECT ?abstract ?label WHERE {<13904733663849> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
44,SELECT ?abstract ?label WHERE {<13831442105915> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
45,SELECT ?abstract ?label WHERE {<13875555170619> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
46,SELECT ?abstract ?label WHERE {<13884956330095> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
47,SELECT ?abstract ?label WHERE {<13896116934195> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
48,SELECT ?abstract ?label WHERE {<13868447024264> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
49,SELECT ?abstract ?label WHERE {<13826983454804> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
50,SELECT ?abstract ?label WHERE {<13868445770151> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
51,SELECT ?abstract ?label WHERE {<13876502775880> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
52,SELECT ?abstract ?label WHERE {<13868448703749> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
53,SELECT ?abstract ?label WHERE {<13884850464141> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
54,SELECT ?abstract ?label WHERE {<13892781008394> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
55,SELECT ?abstract ?label WHERE {<13897949645874> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
56,SELECT ?abstract ?label WHERE {<13892941006437> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
57,SELECT ?abstract ?label WHERE {<13840973806020> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
58,SELECT ?abstract ?label WHERE {<13832296974227> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
59,SELECT ?abstract ?label WHERE {<13868446773759> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
60,SELECT ?abstract ?label WHERE {<13896325827355> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
61,SELECT ?abstract ?label WHERE {<13879064618930> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
62,SELECT ?abstract ?label WHERE {<13868449669158> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
63,SELECT ?abstract ?label WHERE {<13825411717898> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
64,SELECT ?abstract ?label WHERE {<13868446899985> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
65,SELECT ?abstract ?label WHERE {<13868452229243> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
66,SELECT ?abstract ?label WHERE {<13868452269383> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
67,SELECT ?abstract ?label WHERE {<13868452253518> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
68,SELECT ?abstract ?label WHERE {<13868452289316> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
69,SELECT ?abstract ?label WHERE {<13879109948735> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
70,SELECT ?abstract ?label WHERE {<13825411513781> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
71,SELECT ?abstract ?label WHERE {<12345678910> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
72,SELECT ?abstract ?label WHERE {<13879106719071> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
73,SELECT ?abstract ?label WHERE {<13833252593113> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
74,SELECT ?abstract ?label WHERE {<13827021598806> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
75,SELECT ?abstract ?label WHERE {<13871101160019> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
76,SELECT ?abstract ?label WHERE {<13879095959274> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
77,SELECT ?abstract ?label WHERE {<13826529914298> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
78,SELECT ?abstract ?label WHERE {<13849630414586> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
79,SELECT ?abstract ?label WHERE {<13896324959508> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
80,SELECT ?abstract ?label WHERE {<http://example.com/resource/user/marios15@marios15.com> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
81,SELECT ?abstract ?label WHERE {<13826566857195> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
82,SELECT ?abstract ?label WHERE {<13868446042894> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
83,SELECT ?abstract ?label WHERE {<13868448873882> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
84,SELECT ?abstract ?label WHERE {<13868450953242> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
85,SELECT ?abstract ?label WHERE {<13873715666030> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
86,SELECT ?abstract ?label WHERE {<13897245334438> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
87,SELECT ?abstract ?label WHERE {<13903010347262> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
88,SELECT ?abstract ?label WHERE {<13825395834091> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
89,SELECT ?abstract ?label WHERE {<13868449610672> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
90,SELECT ?abstract ?label WHERE {<13867829062666> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
91,SELECT ?abstract ?label WHERE {<13893617145818> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
92,SELECT ?abstract ?label WHERE {<13868446837051> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
93,SELECT ?abstract ?label WHERE {<13855755390861> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
94,SELECT ?abstract ?label WHERE {<13893603236910> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
95,SELECT ?abstract ?label WHERE {<13901561947364> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
96,SELECT ?abstract ?label WHERE {<13868446967908> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
97,SELECT ?abstract ?label WHERE {<13878924725880> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
98,SELECT ?abstract ?label WHERE {<13868448756213> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
99,SELECT ?abstract ?label WHERE {<13886704194245> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
100,SELECT ?abstract ?label WHERE {<13893603547899> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
101,SELECT ?abstract ?label WHERE {<13897220410268> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
102,SELECT ?abstract ?label WHERE {<13898739702674> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
103,SELECT ?abstract ?label WHERE {<13826121763429> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
104,SELECT ?abstract ?label WHERE {<13825414488393> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
105,SELECT ?abstract ?label WHERE {<13868446108778> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
106,SELECT ?abstract ?label WHERE {<13868451010313> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
107,SELECT ?abstract ?label WHERE {<13879110307729> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
108,SELECT ?abstract ?label WHERE {<13884055083206> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
109,SELECT ?abstract ?label WHERE {<13825398590898> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
110,SELECT ?abstract ?label WHERE {<13854601650547> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
111,SELECT ?abstract ?label WHERE {<13868445977548> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
112,SELECT ?abstract ?label WHERE {<13868448810886> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
113,SELECT ?abstract ?label WHERE {<13879064867054> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
114,SELECT ?abstract ?label WHERE {<13875505363489> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
115,SELECT ?abstract ?label WHERE {<13897120416321> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
116,SELECT ?abstract ?label WHERE {<13832296668357> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
117,SELECT ?abstract ?label WHERE {<13826122013179> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
118,SELECT ?abstract ?label WHERE {<13848656198297> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
119,SELECT ?abstract ?label WHERE {<13878969498428> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
120,SELECT ?abstract ?label WHERE {<13831442105915> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
121,SELECT ?abstract ?label WHERE {<13878851090067> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
122,SELECT ?abstract ?label WHERE {<13904733663849> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
123,SELECT ?abstract ?label WHERE {<13875555170619> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
124,SELECT ?abstract ?label WHERE {<13884956330095> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
125,SELECT ?abstract ?label WHERE {<13896116934195> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
126,SELECT ?abstract ?label WHERE {<13826983454804> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
127,SELECT ?abstract ?label WHERE {<13868447024264> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
128,SELECT ?abstract ?label WHERE {<13868445770151> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
129,SELECT ?abstract ?label WHERE {<13868448703749> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
130,SELECT ?abstract ?label WHERE {<13876502775880> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
131,SELECT ?abstract ?label WHERE {<13884850464141> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
132,SELECT ?abstract ?label WHERE {<13892781008394> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
133,SELECT ?abstract ?label WHERE {<13892941006437> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
134,SELECT ?abstract ?label WHERE {<13897949645874> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
135,SELECT ?abstract ?label WHERE {<13832296974227> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
136,SELECT ?abstract ?label WHERE {<13840973806020> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
137,SELECT ?abstract ?label WHERE {<13868446773759> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
138,SELECT ?abstract ?label WHERE {<13868449669158> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
139,SELECT ?abstract ?label WHERE {<13896325827355> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
140,SELECT ?abstract ?label WHERE {<13879064618930> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
141,SELECT ?abstract ?label WHERE {<13825411717898> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
142,SELECT ?abstract ?label WHERE {<13868446899985> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
143,SELECT ?abstract ?label WHERE {<13868452229243> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
144,SELECT ?abstract ?label WHERE {<13868452253518> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
145,SELECT ?abstract ?label WHERE {<13868452269383> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
146,SELECT ?abstract ?label WHERE {<13868452289316> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
147,SELECT ?abstract ?label WHERE {<13879109948735> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
148,SELECT ?abstract ?label WHERE {<13825411513781> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
149,SELECT ?abstract ?label WHERE {<13827021598806> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
150,SELECT ?abstract ?label WHERE {<13879106719071> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
151,SELECT ?abstract ?label WHERE {<12345678910> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
152,SELECT ?abstract ?label WHERE {<13833252593113> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
153,SELECT ?abstract ?label WHERE {<13896324959508> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
154,SELECT ?abstract ?label WHERE {<13871101160019> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
155,SELECT ?abstract ?label WHERE {<13879095959274> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
156,SELECT ?abstract ?label WHERE {<13826529914298> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
157,SELECT ?abstract ?label WHERE {<13849630414586> dbpedia-owl:abstract ?abstract ; rdfs:label ?label filter(lang(?abstract)='en'&&lang(?label)='en')}
