,query
18,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
19,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
20,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
21,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
22,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Jazz> rdfs:label ?label.    <http://dbpedia.org/resource/Jazz> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Jazz> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
23,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/France> rdfs:label ?label.    <http://dbpedia.org/resource/France> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/France> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/France> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
24,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
25,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
26,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
27,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
28,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
29,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
30,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
31,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
32,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
33,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Semitone> rdfs:label ?label.    <http://dbpedia.org/resource/Semitone> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Semitone> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
34,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Keyboard_instrument> rdfs:label ?label.    <http://dbpedia.org/resource/Keyboard_instrument> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Keyboard_instrument> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
35,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Piano> rdfs:label ?label.    <http://dbpedia.org/resource/Piano> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Piano> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
36,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
37,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Jazz> rdfs:label ?label.    <http://dbpedia.org/resource/Jazz> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Jazz> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
38,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/United_States> rdfs:label ?label.    <http://dbpedia.org/resource/United_States> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/United_States> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/United_States> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
39,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/United_States> rdfs:label ?label.    <http://dbpedia.org/resource/United_States> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/United_States> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/United_States> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
40,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Jazz> rdfs:label ?label.    <http://dbpedia.org/resource/Jazz> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Jazz> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
41,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Jazz> rdfs:label ?label.    <http://dbpedia.org/resource/Jazz> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Jazz> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
42,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Jazz> rdfs:label ?label.    <http://dbpedia.org/resource/Jazz> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Jazz> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
43,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Go-go> rdfs:label ?label.    <http://dbpedia.org/resource/Go-go> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Go-go> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
44,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Go-go> rdfs:label ?label.    <http://dbpedia.org/resource/Go-go> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Go-go> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
45,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Washington,_D.C.> rdfs:label ?label.    <http://dbpedia.org/resource/Washington,_D.C.> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Washington,_D.C.> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Washington,_D.C.> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
46,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harp_(magazine)> rdfs:label ?label.    <http://dbpedia.org/resource/Harp_(magazine)> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harp_(magazine)> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
47,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/United_States> rdfs:label ?label.    <http://dbpedia.org/resource/United_States> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/United_States> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/United_States> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
48,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/France> rdfs:label ?label.    <http://dbpedia.org/resource/France> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/France> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/France> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
49,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Hard_disk_drive> rdfs:label ?label.    <http://dbpedia.org/resource/Hard_disk_drive> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Hard_disk_drive> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
50,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/United_States> rdfs:label ?label.    <http://dbpedia.org/resource/United_States> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/United_States> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/United_States> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
51,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Computer_music> rdfs:label ?label.    <http://dbpedia.org/resource/Computer_music> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Computer_music> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
52,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Paris> rdfs:label ?label.    <http://dbpedia.org/resource/Paris> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Paris> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Paris> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
53,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/France> rdfs:label ?label.    <http://dbpedia.org/resource/France> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/France> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/France> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
54,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Percussion_instrument> rdfs:label ?label.    <http://dbpedia.org/resource/Percussion_instrument> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Percussion_instrument> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
55,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Washington,_D.C.> rdfs:label ?label.    <http://dbpedia.org/resource/Washington,_D.C.> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Washington,_D.C.> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Washington,_D.C.> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
56,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Washington,_D.C.> rdfs:label ?label.    <http://dbpedia.org/resource/Washington,_D.C.> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Washington,_D.C.> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Washington,_D.C.> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
57,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Positive_feedback> rdfs:label ?label.    <http://dbpedia.org/resource/Positive_feedback> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Positive_feedback> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
58,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Pseudonym> rdfs:label ?label.    <http://dbpedia.org/resource/Pseudonym> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Pseudonym> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
59,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
60,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
61,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
62,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
63,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
64,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
65,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Rock_music> rdfs:label ?label.    <http://dbpedia.org/resource/Rock_music> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Rock_music> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
66,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Blues> rdfs:label ?label.    <http://dbpedia.org/resource/Blues> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Blues> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
67,"select distinct ?label ?abstract ?formationYear ?numberOfStaff ?homepage where { 	{    <http://dbpedia.org/resource/Key_(company)> rdfs:label ?label.    <http://dbpedia.org/resource/Key_(company)> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Key_(company)> dbpedia-owl:formationYear ?formationYear.}    optional {<http://dbpedia.org/resource/Key_(company)> dbpedia-owl:numberOfStaff ?numberOfStaff.}    optional {<http://dbpedia.org/resource/Key_(company)> foaf:homepage ?homepage.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
68,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
69,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Paris> rdfs:label ?label.    <http://dbpedia.org/resource/Paris> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Paris> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Paris> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
70,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Percussion_instrument> rdfs:label ?label.    <http://dbpedia.org/resource/Percussion_instrument> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Percussion_instrument> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
71,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/France> rdfs:label ?label.    <http://dbpedia.org/resource/France> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/France> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/France> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
72,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Turntablism> rdfs:label ?label.    <http://dbpedia.org/resource/Turntablism> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Turntablism> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
