,query
10,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.058828353881834 AND ?lng < 9.100456237792968 AND ?lat > 39.2732614525488 AND ?lat < 39.28920634205404) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.064573645591735 AND ?lng < 9.069777131080627 AND ?lat > 39.282583840354945 AND ?lat < 39.28457688479161) AND  !(?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  !(?lng > 9.06692862510681 AND ?lng < 9.072132110595703 AND ?lat > 39.28334784742531 AND ?lat < 39.2853408701225) AND  !(?lng > 9.070013165473938 AND ?lng < 9.07521665096283 AND ?lat > 39.283140237632956 AND ?lat < 39.28513326623761) AND  !(?lng >%"
11,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.070297479629514 AND ?lng < 9.0807044506073 AND ?lat > 39.279614929424866 AND ?lat < 39.28360113053868) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  !(?lng > 9.06692862510681 AND ?lng < 9.072132110595703 AND ?lat > 39.28334784742531 AND ?lat < 39.2853408701225) AND  !(?lng > 9.070013165473938 AND ?lng < 9.07521665096283 AND ?lat > 39.283140237632956 AND ?lat < 39.28513326623761) AND  !(?lng > 9.068065881729126 AND ?lng < 9.07847285270691 AND ?lat > 39.281907022782676 AND ?lat < 39.28589309346085) AND  !(?lng > 9.056382179260254 AND ?lng < 9.098010063171386 AND ?lat > 39.27449066688257 AND ?lat < 39.29043527661459) AND  !(?lng >%"
12,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.065093994140625 AND ?lng < 9.085907936096191 AND ?lat > 39.277613438743984 AND ?lat < 39.285585841915214) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.064573645591735 AND ?lng < 9.069777131080627 AND ?lat > 39.282583840354945 AND ?lat < 39.28457688479161) AND  !(?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  !(?lng > 9.06692862510681 AND ?lng < 9.072132110595703 AND ?lat > 39.28334784742531 AND ?lat < 39.2853408701225) AND  !(?lng > 9.070013165473938 AND ?lng < 9.07521665096283 AND ?lat > 39.283140237632956 AND ?lat < 39.28513326623761) AND  !(?lng %"
13,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.060029983520507 AND ?lng < 9.080843925476074 AND ?lat > 39.27751377796242 AND ?lat < 39.28548619247578) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.064573645591735 AND ?lng < 9.069777131080627 AND ?lat > 39.282583840354945 AND ?lat < 39.28457688479161) AND  !(?lng > 9.065914750099182 AND ?lng < 9.071118235588072 AND ?lat > 39.283053041336664 AND ?lat < 39.28504607242245) AND  !(?lng > 9.06692862510681 AND ?lng < 9.072132110595703 AND ?lat > 39.28334784742531 AND ?lat < 39.2853408701225) AND  !(?lng > 9.070013165473938 AND ?lng < 9.07521665096283 AND ?lat > 39.283140237632956 AND ?lat < 39.28513326623761) AND  !(?lng >"
14,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.061875343322754 AND ?lng < 9.08268928527832 AND ?lat > 39.274241503557505 AND ?lat < 39.28221429046652) AND  !(?lng > 9.061499834060667 AND ?lng < 9.071906805038452 AND ?lat > 39.28003847406376 AND ?lat < 39.284024651075505) AND  !(?lng > 9.064251780509948 AND ?lng < 9.06945526599884 AND ?lat > 39.28143366182128 AND ?lat < 39.28342673898507) AND  !(?lng > 9.068065881729126 AND ?lng < 9.07847285270691 AND ?lat > 39.281907022782676 AND ?lat < 39.28589309346085) AND  !(?lng > 9.056382179260254 AND ?lng < 9.098010063171386 AND ?lat > 39.27449066688257 AND ?lat < 39.29043527661459) AND  !(?lng > 9.040803909301757 AND ?lng < 9.124059677124023 AND ?lat > 39.26462312202754 AND ?lat < 39.29651320339141) AND  !(?lng > 9.058828353881834 AND ?lng < 9.100456237792968 AND ?lat > 39.2732614525488 AND ?lat < 39.28920634205404) AND  !(?lng >%"
15,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.064836502075195 AND ?lng < 9.085650444030761 AND ?lat > 39.2710853580804 AND ?lat < 39.27905850414457) AND  !(?lng > 9.056382179260254 AND ?lng < 9.098010063171386 AND ?lat > 39.27449066688257 AND ?lat < 39.29043527661459) AND  !(?lng > 9.040803909301757 AND ?lng < 9.124059677124023 AND ?lat > 39.26462312202754 AND ?lat < 39.29651320339141) AND  !(?lng > 9.058828353881834 AND ?lng < 9.100456237792968 AND ?lat > 39.2732614525488 AND ?lat < 39.28920634205404) AND  !(?lng > 9.065093994140625 AND ?lng < 9.085907936096191 AND ?lat > 39.277613438743984 AND ?lat < 39.285585841915214) AND  !(?lng > 9.060029983520507 AND ?lng < 9.080843925476074 AND ?lat > 39.27751377796242 AND ?lat < 39.28548619247578) AND  !(?lng > 9.061875343322754 AND ?lng < 9.08268928527832 AND ?lat > 39.274241503557505 AND ?lat < 39.28221429046652) AND  LANG(?label)"
16,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.075865745544433 AND ?lng < 9.0966796875 AND ?lat > 39.26962351621653 AND ?lat < 39.27759682862356) AND  !(?lng > 9.056382179260254 AND ?lng < 9.098010063171386 AND ?lat > 39.27449066688257 AND ?lat < 39.29043527661459) AND  !(?lng > 9.040803909301757 AND ?lng < 9.124059677124023 AND ?lat > 39.26462312202754 AND ?lat < 39.29651320339141) AND  !(?lng > 9.058828353881834 AND ?lng < 9.100456237792968 AND ?lat > 39.2732614525488 AND ?lat < 39.28920634205404) AND  !(?lng > 9.060029983520507 AND ?lng < 9.080843925476074 AND ?lat > 39.27751377796242 AND ?lat < 39.28548619247578) AND  !(?lng > 9.061875343322754 AND ?lng < 9.08268928527832 AND ?lat > 39.274241503557505 AND ?lat < 39.28221429046652) AND  !(?lng > 9.064836502075195 AND ?lng < 9.085650444030761 AND ?lat > 39.2710853580804 AND ?lat < 39.27905850414457) AND  LANG(?label)='i"
17,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.072818756103515 AND ?lng < 9.093632698059082 AND ?lat > 39.27040427646073 AND ?lat < 39.27837750002578) AND  !(?lng > 9.056382179260254 AND ?lng < 9.098010063171386 AND ?lat > 39.27449066688257 AND ?lat < 39.29043527661459) AND  !(?lng > 9.040803909301757 AND ?lng < 9.124059677124023 AND ?lat > 39.26462312202754 AND ?lat < 39.29651320339141) AND  !(?lng > 9.058828353881834 AND ?lng < 9.100456237792968 AND ?lat > 39.2732614525488 AND ?lat < 39.28920634205404) AND  !(?lng > 9.065093994140625 AND ?lng < 9.085907936096191 AND ?lat > 39.277613438743984 AND ?lat < 39.285585841915214) AND  !(?lng > 9.060029983520507 AND ?lng < 9.080843925476074 AND ?lat > 39.27751377796242 AND ?lat < 39.28548619247578) AND  !(?lng > 9.061875343322754 AND ?lng < 9.08268928527832 AND ?lat > 39.274241503557505 AND ?lat < 39.28221429046652) AND  !(?lng %3"
18,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.064310789108276 AND ?lng < 9.071284532546995 AND ?lat > 39.2797810256669 AND ?lat < 39.283767217328936) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
19,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.065592885017395 AND ?lng < 9.069079756736755 AND ?lat > 39.28116376159559 AND ?lat < 39.28315684643896) AND  !(?lng > 9.064310789108276 AND ?lng < 9.071284532546995 AND ?lat > 39.2797810256669 AND ?lat < 39.283767217328936) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
20,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 9.065362215042114 AND ?lng < 9.068849086761474 AND ?lat > 39.28135476801672 AND ?lat < 39.28334784742531) AND  !(?lng > 9.064310789108276 AND ?lng < 9.071284532546995 AND ?lat > 39.2797810256669 AND ?lat < 39.283767217328936) AND  !(?lng > 9.065592885017395 AND ?lng < 9.069079756736755 AND ?lat > 39.28116376159559 AND ?lat < 39.28315684643896) AND  LANG(?label)='it' AND LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
