,query
10,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.207669258117676 AND ?lng < 13.22348356246948 AND ?lat > 46.22992101525643 AND ?lat < 46.23704552471915) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  LANG"
11,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  LANG(?abstract)='it' AND LANG(?type)='en') } Limit 100"
12,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.206703662872314 AND ?lng < 13.222517967224121 AND ?lat > 46.23250375680543 AND ?lat < 46.23962793099444) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !"
13,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.206253051757812 AND ?lng < 13.237881660461426 AND ?lat > 46.2205241542977 AND ?lat < 46.234774687747596) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !"
14,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.191661834716797 AND ?lng < 13.254919052124023 AND ?lat > 46.2114375081839 AND ?lat < 46.23993959249809) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !%"
15,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.20530891418457 AND ?lng < 13.236937522888184 AND ?lat > 46.22699673013862 AND ?lat < 46.24124558335628) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !%"
16,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.20629596710205 AND ?lng < 13.237924575805664 AND ?lat > 46.2200787655143 AND ?lat < 46.234329414577076) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !%"
17,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.20706844329834 AND ?lng < 13.238697052001951 AND ?lat > 46.22753112890028 AND ?lat < 46.2417798433839) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !%2"
18,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.2175612449646 AND ?lng < 13.233375549316406 AND ?lat > 46.23231079755734 AND ?lat < 46.23943499679548) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !%2"
19,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.209643363952637 AND ?lng < 13.24127197265625 AND ?lat > 46.23023273189237 AND ?lat < 46.24448074500008) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.212990760803223 AND ?lng < 13.220897912979124 AND ?lat > 46.230700303526945 AND ?lat < 46.23426262328987) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !%"
20,"SELECT DISTINCT (str(?label) as ?label) ?lng ?lat ?abstract ?link ?thumbnail  (GROUP_CONCAT(?type; separator=',') as ?types)  WHERE { ?res <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?lng. ?res <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat. ?res rdfs:label ?label . ?res foaf:isPrimaryTopicOf ?link. ?res <http://dbpedia.org/ontology/thumbnail> ?thumbnail. ?res <http://dbpedia.org/ontology/abstract> ?abstract. ?res rdf:type ?type_url . ?type_url rdfs:label ?type . FILTER ((?lng > 13.221520185470581 AND ?lng < 13.229427337646484 AND ?lat > 46.233349800884646 AND ?lat < 46.236911948675036) AND  !(?lng > 13.20732593536377 AND ?lng < 13.238954544067383 AND ?lat > 46.22940148359583 AND ?lat < 46.24364971251119) AND  !(?lng > 13.207411766052244 AND ?lng < 13.223226070404053 AND ?lat > 46.23048507263439 AND ?lat < 46.23760950887629) AND  !(?lng > 13.207690715789795 AND ?lng < 13.223505020141602 AND ?lat > 46.229906171562945 AND ?lat < 46.23703068295253) AND  !(?lng > 13.17586898803711 AND ?lng < 13.239126205444336 AND ?lat > 46.225155983470586 AND ?lat < 46.25365094608467) AND  !(?lng > 13.19706916809082 AND ?lng < 13.228697776794434 AND ?lat > 46.22833271728795 AND ?lat < 46.242581223670726) AND  !(?lng > 13.207669258117676 AND ?lng < 13.22348356246948 AND ?lat > 46.22992101525643 AND ?lat < 46.23704552471915) AND  !"
