,query,results,error
196,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta paras""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Paras""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta paras""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
197,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- kannalta paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- kannalta paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- kannalta paras""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- Kannalta Paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- Kannalta Paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- Kannalta Paras""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- kannalta paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- kannalta paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- kannalta paras""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
198,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""ympäristön paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""ympäristön paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""ympäristön paras""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön Paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön Paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön Paras""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön paras""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
199,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- ympäristön paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- ympäristön paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- ympäristön paras""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- Ympäristön Paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- Ympäristön Paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- Ympäristön Paras""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- ympäristön paras"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- ympäristön paras""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""- ympäristön paras""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
200,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
201,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""paras mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""paras mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""paras mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Paras Mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Paras Mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Paras Mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Paras mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Paras mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Paras mahdollinen""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
202,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta mahdollinen""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
203,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""ympäristön paras mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""ympäristön paras mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""ympäristön paras mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön Paras Mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön Paras Mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön Paras Mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön paras mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön paras mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön paras mahdollinen""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
204,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tapa""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
205,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""ympäristön kannalta mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""ympäristön kannalta mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""ympäristön kannalta mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön Kannalta Mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön Kannalta Mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön Kannalta Mahdollinen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön kannalta mahdollinen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön kannalta mahdollinen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Ympäristön kannalta mahdollinen""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
206,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""mahdollinen tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""mahdollinen tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""mahdollinen tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen Tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen Tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen Tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Mahdollinen tapa""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
207,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""parhaalla tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""parhaalla tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""parhaalla tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Parhaalla Tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Parhaalla Tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Parhaalla Tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Parhaalla tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Parhaalla tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Parhaalla tapa""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
208,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta mahdollinen tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta mahdollinen tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta mahdollinen tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Mahdollinen Tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Mahdollinen Tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Mahdollinen Tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta mahdollinen tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta mahdollinen tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta mahdollinen tapa""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
209,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta parhaalla tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta parhaalla tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""kannalta parhaalla tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Parhaalla Tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Parhaalla Tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta Parhaalla Tapa""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta parhaalla tapa"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta parhaalla tapa""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Kannalta parhaalla tapa""@fi }
 { ?iri a/rdfs:subClassOf dbo:Agent }
 UNION
 { ?iri a/rdfs:subClassOf dbo:Place }
} ",,timed out
210,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Wärtsilä""@fi }
 ?iri a owl:Thing .
} ",1.0,
211,"PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  owl: <http://www.w3.org/2002/07/owl#>
PREFIX  dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
SELECT DISTINCT ?iri WHERE {
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukeminen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukeminen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""tukeminen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen""@fi }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen"" }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen""@en }
 UNION
 { ?iri skos:prefLabel|rdfs:label|skos:altLabel|foaf:givenName|foaf:name|foaf:surname ""Tukeminen""@fi }
 ?iri a owl:Thing .
} ",0.0,
