,query,results,error
12,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Romanization_of_Chinese> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
13,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Rockefeller_Foundation> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
14,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Computable_function> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
15,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Deterministic_system> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
16,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Syntagma_(linguistics)> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
17,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/P04625>},0.0,
18,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Cutting-plane_method> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
19,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_00613_12>},0.0,
20,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic2_02007_13>},0.0,
21,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_30617_10>},0.0,
22,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_19250_8>},0.0,
23,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_19810_8>},0.0,
24,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic9_3630_004_8>},0.0,
25,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Science_News> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
26,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_12806_14>},0.0,
27,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/seduta.rdf/s01_1548>},0.0,
28,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_16536_11>},0.0,
29,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/deputato.rdf/dr1760_23>},0.0,
30,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Data_entry> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
31,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/dibattito.rdf/Scheda_Tit_185_IdVol1232>},0.0,
32,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_19965_8>},0.0,
33,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_09403_9>},0.0,
34,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_00652_8>},0.0,
35,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_00058_8>},0.0,
36,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Default_rule> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
37,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_02313_8>},0.0,
38,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_01808_8>},0.0,
39,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_03347_8>},0.0,
40,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Database> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
41,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/San_Francisco> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
42,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac11_3716>},0.0,
43,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/voto.rdf/vd17_040_001_302786>},0.0,
44,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic9_1964_001_8>},0.0,
45,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Resource_management> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
46,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Video_clip> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
47,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_87148>},0.0,
48,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_87106>},0.0,
49,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/NP-complete> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
50,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/False_alarm> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
51,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_8922>},0.0,
52,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/S10851>},0.0,
53,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Kevin_Knight> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
54,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Network_interface_controller> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
55,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9034>},0.0,
56,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9031>},0.0,
57,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/International_System_of_Units> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
58,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Country_code> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
59,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Singles_Day> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
60,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/One_Power> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
61,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_91579>},0.0,
62,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_91564>},0.0,
63,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/M-estimator> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
64,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Thermonuclear_weapon> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
65,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9343>},0.0,
66,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac01_3290>},0.0,
67,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Educational_stage> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
68,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_91397>},0.0,
69,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac03_3049>},0.0,
70,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Problem_book> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
71,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9645>},0.0,
72,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/German_verbs> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
73,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9786>},0.0,
74,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_02709_7>},0.0,
75,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9871>},0.0,
76,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_9905>},0.0,
77,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_23253_10>},0.0,
78,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/discussione.rdf/disIdDib38231_16>},0.0,
79,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/discussione.rdf/disIdDib42586_16>},0.0,
80,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/legge.rdf/L1985_77>},0.0,
81,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/legge.rdf/L1950_78>},0.0,
82,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac15_195>},0.0,
83,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/allegatoDiscussione.rdf/all16_6638>},0.0,
84,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/CD0000008240>},0.0,
85,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/persona.rdf/p50301>},0.0,
86,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/seduta.rdf/s04_8711>},0.0,
87,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/D07653>},0.0,
88,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/seduta.rdf/s03_7298>},0.0,
89,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/I00634>},0.0,
90,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/deputato.rdf/dr1491_13>},0.0,
91,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Webgraph> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
92,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/P03436>},0.0,
93,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/dibattito.rdf/IdDib3986>},0.0,
94,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_02073_14>},0.0,
95,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac02_1833>},0.0,
96,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/P10860>},0.0,
97,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Dependent_clause> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
98,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/seduta.rdf/s07_14029>},0.0,
99,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_06602_14>},0.0,
100,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_01798_16>},0.0,
101,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/L01104>},0.0,
102,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Test_card> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
103,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Sentence_function> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
104,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac10_4210>},0.0,
105,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic5_00057_8>},0.0,
106,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Eugene_Charniak> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
107,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/M14069>},0.0,
108,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/pathskos:changeNote/attocamera.rdf/ac16_3867>},0.0,
109,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/S08965>},0.0,
110,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/G11350>},0.0,
111,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/pathocd:membro/deputato.rdf/d302773_17>},0.0,
112,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_00191_7>},0.0,
113,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/O00214>},0.0,
114,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic4_12443_14>},0.0,
115,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Stack_search> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
116,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/MICROS_Systems> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
117,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic3_03156_8>},0.0,
118,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/persona.rdf/pr3949>},0.0,
119,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Model_(profession)> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
120,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/Z02628>},0.0,
121,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/doc.rdf/doc05_ivn42>},0.0,
122,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/T04611>},0.0,
123,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/seduta.rdf/src092>},0.0,
124,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/legge.rdf/L1984_9>},0.0,
125,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Alignment_(Dungeons_&amp;_Dragons)> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
126,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Visual_Word> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
127,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_3777>},0.0,
128,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_384>},0.0,
129,"define sql:describe-mode ""CBD"" DESCRIBE <http://dbpedia.org/resource/Parking_lot>",,HTTP Error 406: Unacceptable
130,"define sql:describe-mode ""CBD"" DESCRIBE <http://dbpedia.org/resource/Uli_Hoeneß>",,HTTP Error 406: Unacceptable
131,"define sql:describe-mode ""CBD"" DESCRIBE <http://dbpedia.org/resource/Naproxen>",,HTTP Error 406: Unacceptable
132,"define sql:describe-mode ""CBD"" DESCRIBE <http://dbpedia.org/resource/Vatican_Museums>",,HTTP Error 406: Unacceptable
133,"define sql:describe-mode ""CBD"" DESCRIBE <http://dbpedia.org/resource/Georgios_Kousas>",,HTTP Error 406: Unacceptable
134,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/S07811>},0.0,
135,"define sql:describe-mode ""CBD"" DESCRIBE <http://dbpedia.org/resource/Georgios_Kousas>",,HTTP Error 406: Unacceptable
136,"define sql:describe-mode ""CBD"" DESCRIBE <http://dbpedia.org/resource/Vatican_Museums>",,HTTP Error 406: Unacceptable
137,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/aic.rdf/aic2_00949_16>},0.0,
138,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/attocamera.rdf/ac16_5110>},0.0,
139,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Context_free> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
140,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/French_language> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
141,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Eastern_Europe> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
142,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Closed_form> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
143,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Lillian_Lee> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
144,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Frame_rate> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
145,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Choice_modelling> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
146,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Philipp_Koehn> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
147,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/deputato.rdf/dr10685_28>},0.0,
148,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_414>},0.0,
149,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Information_foraging> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
150,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Logic_programming> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
151,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Class_variable> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
152,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Markov_random_field> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
153,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://lod.xdams.org/reload/oad/event/M11445>},0.0,
154,SELECT DISTINCT * WHERE {?object <http://www.w3.org/2002/07/owl#sameAs> <http://dati.camera.it/ocd/intervento.rdf/in16_4331>},0.0,
155,"
select ?resource ?abstract where {
	VALUES ?resource { <http://dbpedia.org/resource/Representational_systems_(NLP)> }
	?resource dbpedia-owl:abstract ?abstract . filter (lang(?abstract)='en')
}
 ",,HTTP Error 400: Bad Request
